Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2343282-6,Asunto Oy Helsingin Kahvimestari 1,,,2010-06-29,http://avoindata.prh.fi/opendata/tr/v1/2343282-6,AOY
2343286-9,Asunto Oy Helsingin Kahvimestari 2,,,2010-06-21,http://avoindata.prh.fi/opendata/tr/v1/2343286-9,AOY
2324069-9,Kahvila Ulla ja Aleksanteri Oy,,,2010-03-31,http://avoindata.prh.fi/opendata/tr/v1/2324069-9,OY
2324436-6,Helsingin Kahvikomppania Oy,,,2010-03-31,http://avoindata.prh.fi/opendata/tr/v1/2324436-6,OY
2317993-9,Ruthin Leipomo Oy,,,2010-03-01,http://avoindata.prh.fi/opendata/tr/v1/2317993-9,OY
2383443-8,Cafe NeulAnut Oy,,,2011-02-07,http://avoindata.prh.fi/opendata/tr/v1/2383443-8,OY
2428127-3,LEIPOMO EMILIE OY,,,2011-09-16,http://avoindata.prh.fi/opendata/tr/v1/2428127-3,OY
2438792-4,Lounas-Kahvila Linis Oy,,,2011-11-18,http://avoindata.prh.fi/opendata/tr/v1/2438792-4,OY
2437749-4,Maaseutupuoti Katariinan kahvitupa Oy,,,2011-11-09,http://avoindata.prh.fi/opendata/tr/v1/2437749-4,OY
2433767-9,Kahvila Saima Oy,,,2011-10-19,http://avoindata.prh.fi/opendata/tr/v1/2433767-9,OY
2446317-3,Kahvikumppanit oy,,,2011-12-16,http://avoindata.prh.fi/opendata/tr/v1/2446317-3,OY
2444214-5,Kahvila-Ravintola Ansa Oy,,,2011-12-09,http://avoindata.prh.fi/opendata/tr/v1/2444214-5,OY
2417073-3,Lounaskahvila Malmarix Oy,,,2011-07-20,http://avoindata.prh.fi/opendata/tr/v1/2417073-3,OY
2414674-1,Koli's grilli & kahvila Oy,,,2011-06-28,http://avoindata.prh.fi/opendata/tr/v1/2414674-1,OY
2412053-3,Miinan Torikahvio Oy,,,2011-06-20,http://avoindata.prh.fi/opendata/tr/v1/2412053-3,OY
2397528-1,Kahvila Freesi Oy,,,2011-04-06,http://avoindata.prh.fi/opendata/tr/v1/2397528-1,OY
2394509-0,Powerbread Oy,,,2011-03-11,http://avoindata.prh.fi/opendata/tr/v1/2394509-0,OY
2395047-1,Kanavan Kotileipomo Oy,,,2011-03-10,http://avoindata.prh.fi/opendata/tr/v1/2395047-1,OY
2378561-3,Lounas - Kahvila Hertta Oy,,,2011-01-26,http://avoindata.prh.fi/opendata/tr/v1/2378561-3,OY
2380498-4,Cafe Antique Oy,,,2011-01-19,http://avoindata.prh.fi/opendata/tr/v1/2380498-4,OY
2379294-4,Torin Kahvipaikka Oy,,,2011-01-18,http://avoindata.prh.fi/opendata/tr/v1/2379294-4,OY
2402276-5,Lounaskahvila Korjala Oy,,,2011-04-28,http://avoindata.prh.fi/opendata/tr/v1/2402276-5,OY
2400233-4,KAN CAFECAKEHOUSE Oy,,,2011-04-13,http://avoindata.prh.fi/opendata/tr/v1/2400233-4,OY
2463544-9,Cafe Rohkifiini Oy,,,2012-03-07,http://avoindata.prh.fi/opendata/tr/v1/2463544-9,OY
