Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2526991-1,Pub Olkkari Oy,,,2013-02-18,http://avoindata.prh.fi/opendata/tr/v1/2526991-1,OY
2568729-1,Hartolan Puoti & Baari Oy,,,2013-09-24,http://avoindata.prh.fi/opendata/tr/v1/2568729-1,OY
2581761-5,Cozy Publishing Oy,,,2013-11-08,http://avoindata.prh.fi/opendata/tr/v1/2581761-5,OY
2590289-5,Spoon Publishing Oy,,,2013-12-17,http://avoindata.prh.fi/opendata/tr/v1/2590289-5,OY
2584339-7,Kaiho Republic Oy,,,2013-11-27,http://avoindata.prh.fi/opendata/tr/v1/2584339-7,OY
2564836-4,Jäätelöbaari Jädelino Oy,,,2013-08-28,http://avoindata.prh.fi/opendata/tr/v1/2564836-4,OY
2557644-4,Hanki Baari Oy,,,2013-08-26,http://avoindata.prh.fi/opendata/tr/v1/2557644-4,OY
2559104-6,Rud Pedersen Public Affairs Company Oy,,,2013-07-17,http://avoindata.prh.fi/opendata/tr/v1/2559104-6,OY
2553881-9,Print&Media Publishing Oy,,,2013-06-28,http://avoindata.prh.fi/opendata/tr/v1/2553881-9,OY
2541239-4,Helsingin Nightclub Tähti Oy,,,2013-04-29,http://avoindata.prh.fi/opendata/tr/v1/2541239-4,OY
2538807-2,Jankas Pub & Fast Food Ab Oy,,,2013-03-27,http://avoindata.prh.fi/opendata/tr/v1/2538807-2,OY
2520477-1,Asunto Oy Kauniaisten Krouvikallio,,,2013-01-24,http://avoindata.prh.fi/opendata/tr/v1/2520477-1,AOY
2520281-3,Publin Oy,,,2013-01-16,http://avoindata.prh.fi/opendata/tr/v1/2520281-3,OY
2550252-5,TV PUB OY,,,2013-06-07,http://avoindata.prh.fi/opendata/tr/v1/2550252-5,OY
2644783-9,Khaos Publishing Oy,,,2014-10-06,http://avoindata.prh.fi/opendata/tr/v1/2644783-9,OY
2644478-5,Ellun Pub Oy,,,2014-10-02,http://avoindata.prh.fi/opendata/tr/v1/2644478-5,OY
2640033-6,Hunters Inn Pub Oy,,,2014-09-15,http://avoindata.prh.fi/opendata/tr/v1/2640033-6,OY
2649455-5,KEMI PUB OY,,,2014-10-28,http://avoindata.prh.fi/opendata/tr/v1/2649455-5,OY
2661807-9,No Tofu Publishing Oy,,,2014-12-30,http://avoindata.prh.fi/opendata/tr/v1/2661807-9,OY
2633796-3,Pub Hopeakenkä Oy,,,2014-08-15,http://avoindata.prh.fi/opendata/tr/v1/2633796-3,OY
2608790-9,Black Sheep Pub & Terrace Ab,,,2014-03-28,http://avoindata.prh.fi/opendata/tr/v1/2608790-9,OY
2617379-4,PUB Creative Agency Oy,,,2014-05-21,http://avoindata.prh.fi/opendata/tr/v1/2617379-4,OY
2621158-6,my PUB Oy,,,2014-05-19,http://avoindata.prh.fi/opendata/tr/v1/2621158-6,OY
2681844-1,Littlepub Oy,,,2015-03-30,http://avoindata.prh.fi/opendata/tr/v1/2681844-1,OY
2725353-4,Family Publishing Services Oy,,,2015-12-22,http://avoindata.prh.fi/opendata/tr/v1/2725353-4,OY
2703642-5,PromoRepublic Oy,,,2015-09-08,http://avoindata.prh.fi/opendata/tr/v1/2703642-5,OY
2662674-9,Sieppari-Pub Oy,,,2015-02-01,http://avoindata.prh.fi/opendata/tr/v1/2662674-9,OY
