Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2404435-8,Pulkkilan Burger Oy,,,2011-04-28,http://avoindata.prh.fi/opendata/tr/v1/2404435-8,OY
2455264-3,MoonBurger Oy,,,2012-03-12,http://avoindata.prh.fi/opendata/tr/v1/2455264-3,OY
2455301-3,Kiinteistö Oy Burgermaja,,,2012-02-07,http://avoindata.prh.fi/opendata/tr/v1/2455301-3,OY
2455246-7,BurgerKamppi Oy,,,2012-02-07,http://avoindata.prh.fi/opendata/tr/v1/2455246-7,OY
2494909-3,Tuisku Burger Oy,,,2012-09-14,http://avoindata.prh.fi/opendata/tr/v1/2494909-3,OY
2494907-7,Pouta Burger Oy,,,2012-09-07,http://avoindata.prh.fi/opendata/tr/v1/2494907-7,OY
2494904-2,Pyry Burger Oy,,,2012-09-04,http://avoindata.prh.fi/opendata/tr/v1/2494904-2,OY
2516905-6,Paukun Grilli- ja Pelikioski Oy,,,2012-12-19,http://avoindata.prh.fi/opendata/tr/v1/2516905-6,OY
2515261-7,BURGER5 Oy,,,2012-12-05,http://avoindata.prh.fi/opendata/tr/v1/2515261-7,OY
2492324-8,Satelliitti Burger Oy,,,2012-08-24,http://avoindata.prh.fi/opendata/tr/v1/2492324-8,OY
2478537-5,KANGASLAMMIN KESÄKIOSKI OY,,,2012-06-26,http://avoindata.prh.fi/opendata/tr/v1/2478537-5,OY
2483855-3,Mantan Grilli-Kioski Oy,,,2012-06-21,http://avoindata.prh.fi/opendata/tr/v1/2483855-3,OY
2455307-2,TunturiBurger Oy,,,2012-01-30,http://avoindata.prh.fi/opendata/tr/v1/2455307-2,OY
2455304-8,Kiinteistö Oy MoonBurger,,,2012-01-30,http://avoindata.prh.fi/opendata/tr/v1/2455304-8,OY
2455252-0,Tähti-Burger Oy,,,2012-01-30,http://avoindata.prh.fi/opendata/tr/v1/2455252-0,OY
2455249-1,Kiinteistö Oy Tähti-Burger,,,2012-01-30,http://avoindata.prh.fi/opendata/tr/v1/2455249-1,OY
2455874-6,L-Burger Oy,,,2012-01-24,http://avoindata.prh.fi/opendata/tr/v1/2455874-6,OY
2448236-6,PM-Pizza Oy,,,2012-01-04,http://avoindata.prh.fi/opendata/tr/v1/2448236-6,OY
2475665-4,Kebab Mesta Oy,,,2012-05-11,http://avoindata.prh.fi/opendata/tr/v1/2475665-4,OY
2538302-8,Restel Fast Food Oy,,,2013-03-18,http://avoindata.prh.fi/opendata/tr/v1/2538302-8,OY
2573212-8,Manskun pitsa Oy,,,2013-10-09,http://avoindata.prh.fi/opendata/tr/v1/2573212-8,OY
2573948-5,CarpatBurger Oy,,,2013-10-03,http://avoindata.prh.fi/opendata/tr/v1/2573948-5,OY
2556852-4,Kulttuurikioski osk,,,2013-09-11,http://avoindata.prh.fi/opendata/tr/v1/2556852-4,OK
2579995-5,Burger Street Oy,,,2013-11-05,http://avoindata.prh.fi/opendata/tr/v1/2579995-5,OY
2589127-6,Pizzeria Kebab Nina Oy,,,2013-12-18,http://avoindata.prh.fi/opendata/tr/v1/2589127-6,OY
2588830-9,Volksburger Oy,,,2013-12-18,http://avoindata.prh.fi/opendata/tr/v1/2588830-9,OY
2564202-6,The Social Burger Joint Oy,,,2013-08-26,http://avoindata.prh.fi/opendata/tr/v1/2564202-6,OY
2561131-8,HiphopBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561131-8,OY
2561132-6,HumppaBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561132-6,OY
2561117-4,BalettiBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561117-4,OY
2561121-1,PolkkaBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561121-1,OY
2561124-6,JenkkaBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561124-6,OY
2561129-7,JiveBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561129-7,OY
2561116-6,SambaBurger Oy,,,2013-08-13,http://avoindata.prh.fi/opendata/tr/v1/2561116-6,OY
2554597-1,MamboBurger Oy,,,2013-07-08,http://avoindata.prh.fi/opendata/tr/v1/2554597-1,OY
2554559-2,SmoBurger Oy,,,2013-07-08,http://avoindata.prh.fi/opendata/tr/v1/2554559-2,OY
2538807-2,Jankas Pub & Fast Food Ab Oy,,,2013-03-27,http://avoindata.prh.fi/opendata/tr/v1/2538807-2,OY
